Date,VXc1,VXc2,SPY
2020-09-22,31.375,32.175,330.3
2020-09-23,32.475,33.325,322.64
2020-09-24,32.225,33.675,323.5
2020-09-25,31.225,32.925,328.73
2020-09-28,30.825,32.975,334.19
2020-09-29,29.775,32.075,332.37
2020-09-30,30.375,32.875,334.89
2020-10-01,30.675,32.475,337.04
2020-10-02,32.075,33.175,333.84
2020-10-05,30.825,32.225,339.76
2020-10-06,31.225,32.225,334.93
2020-10-07,30.025,31.725,340.76
2020-10-08,28.125,30.425,343.78
2020-10-09,26.875,29.025,346.85
2020-10-12,26.325,28.575,352.43
2020-10-13,26.775,28.575,350.13
2020-10-14,27.075,28.2,347.93
2020-10-15,27.575,28.875,347.5
2020-10-16,27.875,29.025,347.29
2020-10-19,29.175,30.225,342.01
2020-10-20,29.275,29.975,343.38
2020-10-21,29.07,29.225,342.73
2020-10-22,28.825,28.525,344.61
2020-10-23,28.775,28.625,345.78
2020-10-26,31.325,30.375,339.39
2020-10-27,31.325,30.925,338.22
2020-10-28,36.0,34.725,326.66
2020-10-29,33.125,32.575,329.98
2020-10-30,34.1,34.075,326.54
2020-11-02,33.375,33.175,330.2
2020-11-03,31.425,31.575,336.03
2020-11-04,28.375,29.175,343.54
2020-11-05,27.775,28.775,350.24
2020-11-06,25.475,27.175,350.16
2020-11-09,25.575,26.275,354.56
2020-11-10,24.675,25.425,354.04
2020-11-11,23.825,24.975,356.67
2020-11-12,25.875,26.575,353.21
2020-11-13,23.325,25.075,358.1
2020-11-16,22.925,24.525,362.57
2020-11-17,22.975,24.025,360.62
2020-11-18,22.41,24.875,356.28
2020-11-19,24.475,25.925,357.78
2020-11-20,24.375,25.825,355.33
2020-11-23,24.1,25.725,357.46
2020-11-24,23.6,25.625,363.22
2020-11-25,22.625,24.825,362.66
2020-11-27,22.825,25.025,363.67
2020-11-30,22.375,24.575,362.06
2020-12-01,22.825,24.425,366.02
2020-12-02,22.675,24.325,366.79
2020-12-03,22.975,24.475,366.69
2020-12-04,22.475,24.225,369.85
